Time Manipulation.43334.62876.(1575, 965).15000
Unlimited Creation Works.36667.54060.(1255, 965).25000
Ionioi Hero Summon.32167.54290.(935, 965).25000
Reflection Barrier.29334.69804.(615, 965).12000
Gear Eyes.26667.68770.(1575, 905).13000
Transformation Aura.24167.47704.(1255, 905).45000
Teleport.22001.84733.(935, 905).7000
God Speed.20001.71236.(615, 905).12000
Big Bang.18001.48416.(1575, 845).59999
108 Fists.16167.52937.(1255, 845).35000
Mystic Mode.14501.50311.(935, 845).45000
Aura Ball.12834.79015.(615, 845).9001
Clairvoyance.11334.66483.(1575, 785).15000
Ice Wall.9834.69100.(1255, 785).12000
Earth Armor.8334.54198.(935, 785).30000
Elemental Manipulation.7001.57827.(615, 785).25000
Offense Aura.5667.52349.(1575, 725).40000
Dragon Fist.4667.79117.(1255, 725).4000
Invisible Hand.3667.80106.(935, 725).3000
Whirling Foot.2834.66128.(615, 725).3000
Misdirection.2167.61534.(1575, 665).20000
Defensive Aura.1667.66220.(1255, 665).15000
Raging Fist.1167.74770.(935, 665).7500
Focused Breathing.834.68492.(615, 665).16000
Shadow Fist.667.64582.(1575, 605).2500
Dodge.501.73298.(1255, 605).7000
High Kick.334.59698.(935, 605).1000
Double Punch.167.49666.(615, 605).1000
